exchange_id,scooter_id,swapIn_X,swapIn_Y,trip_1_distance,swapout_X,swapout_Y,trip_last_distance,total_distance
63df243c-3dc2-40dd-992d-2c7033b43857,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,219211.259719532,2681823.4716300783,3.1,221096.92890199024,2682943.7446517996,4.0,18900.0
ded60519-e0c4-4964-906e-45fe0c7dbd8d,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,215160.31480449112,2682888.214597851,0.1,219211.259719532,2681823.4716300783,0.9,16400.000000000004
df007d86-7a8b-436a-8f91-763264275b70,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220225.60960433123,2682957.621433426,1.2000000000000002,215160.31480449112,2682888.214597851,0.8,17000.0
422bcccb-17a7-461e-b5a2-6189a719e970,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,218961.50442262687,2678929.1796635035,2.1,220225.60960433123,2682957.621433426,0.7000000000000001,18800.0
f41db8c5-298a-4474-a11e-67495c7dec93,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220427.774942236,2682272.527878252,0.6000000000000001,218961.50442262687,2678929.1796635035,1.1,12200.000000000002
e7210465-ddd6-41ea-9dc7-3bba9191e1fc,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,222781.11104745232,2682773.0618196037,1.1,220427.774942236,2682272.527878252,2.2,11300.0
b3a8f451-b894-4910-b785-c9022b882034,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,219975.5337305406,2680717.5229802113,1.9000000000000001,222781.11104745232,2682773.0618196037,0.30000000000000004,15299.999999999998
5338b8d5-fd5b-48bb-88dd-52426609b293,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221673.92173671225,2681582.6549135935,2.1,219975.5337305406,2680717.5229802113,1.0,9300.0
a1882233-30f7-4d18-a320-96bf6c07f287,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221762.3257216202,2683086.490994693,3.4000000000000004,221673.92173671225,2681582.6549135935,1.3,21500.0
f134a574-19e2-42a1-8a51-d28c49596472,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,224154.2629004657,2683307.8580724257,2.7,221762.3257216202,2683086.490994693,0.6000000000000001,13200.0
86a989cc-ab1b-4fed-b3d4-9e66b2a1810f,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,222781.11104745232,2682773.0618196037,0.5,224154.2629004657,2683307.8580724257,1.9000000000000001,7900.0
390dcf73-7305-4541-a585-9572b9ccce1a,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,203455.0658043099,2665580.3265554626,0.30000000000000004,201882.62422508586,2662682.065147005,3.4000000000000004,300.00000000000006
28be20d9-39cf-46c7-8ce0-678b672423e4,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,204638.83188483716,2664498.8989441087,14.3,204638.83188483716,2664498.8989441087,14.3,14300.0
5ccfc820-52bf-41f6-be2e-cc754e7aaa4d,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,202408.66459350148,2664693.33096493,4.800000000000001,204638.83188483716,2664498.8989441087,4.800000000000001,4800.000000000001
a5f8046d-edd5-426a-bdf7-87dea9f06632,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,206226.7513579304,2665565.795176287,2.4000000000000004,202548.145798773,2661902.3616232364,2.4000000000000004,2400.0000000000005
2f5f53a6-915e-4d6a-90ac-419dc20148d0,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,202656.96564599514,2662241.343991196,4.6000000000000005,201882.62422508586,2662682.065147005,4.6000000000000005,4600.000000000001
aa1dba9b-f4c3-4d31-9168-cacdd35f211a,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,203646.9724278644,2663593.255670814,8.5,202656.96564599514,2662241.343991196,7.9,8500.0
022877a6-7a1a-459a-9905-f6315694e5ce,9ed764ba-cd31-43dc-ae0f-2ac54535cab6,202548.145798773,2661902.3616232364,11.9,202548.145798773,2661902.3616232364,11.9,11900.0
